City,Lat,Lon,Race,Count
"Nashville, TN",36.1622,-86.7744,All,5
"Kingman, AZ",35.1894,-114.053,All,5
"Phoenix, AZ",33.4486,-112.0773,Black,2
"Phoenix, AZ",33.4486,-112.0773,Hispanic,11
"Phoenix, AZ",33.4486,-112.0773,Native American,3
"Phoenix, AZ",33.4486,-112.0773,Other/Unknown,3
"Phoenix, AZ",33.4486,-112.0773,White,12
"Houston, TX",29.7589,-95.3677,Asian,1
"Houston, TX",29.7589,-95.3677,Black,15
"Houston, TX",29.7589,-95.3677,Hispanic,6
"Houston, TX",29.7589,-95.3677,Other/Unknown,1
"Houston, TX",29.7589,-95.3677,White,3
"Chicago, IL",41.8756,-87.6244,Black,21
"Chicago, IL",41.8756,-87.6244,Hispanic,1
"Chicago, IL",41.8756,-87.6244,Other/Unknown,1
"Chicago, IL",41.8756,-87.6244,White,2
"Miami, FL",25.7743,-80.1937,Black,10
"Miami, FL",25.7743,-80.1937,Hispanic,6
"Miami, FL",25.7743,-80.1937,Other/Unknown,1
"Miami, FL",25.7743,-80.1937,White,3
"Columbus, OH",39.9623,-83.0007,Black,10
